sr_no,category,subcategory,dish_name,price,description,chef_special,preparation_time,veg,non-veg,image_url
1,A La Carte,A La Carte,Green Vegetable ,1.50,Choice of vegetable available,,20,Y,N,
2,A La Carte,A La Carte,Mushroom ,2.00,Choice of mushroom available,,20,Y,N,
3,A La Carte,A La Carte,Meat ,2.00,Choice of meat available,,20,Y,N,
4,A La Carte,A La Carte,Luo Han Veg ,1.70,,,20,Y,N,
5,A La Carte,A La Carte,Broccoli ,2.00,,,20,Y,N,
6,A La Carte,A La Carte,Big Drumstick ,2.50,,,20,Y,N,
7,A La Carte,A La Carte,Tofu Goreng ,2.00,,,20,Y,N,
8,A La Carte,A La Carte,Popiah ,1.50,,,20,Y,N,
9,Mains,Mains,Vegetarian Bee Hoon ,5.00,,,20,Y,N,
10,Mains,Mains,Mixed Vegetable with Rice  ,5.50,3 Vegetables,,20,Y,N,
11,Mains,Mains,Mixed Vegetable with Brown Rice ,6.00,3 Vegetables,,20,Y,N,
12,Mains,Mains,Vegetarian Laksa  ,5.50,,,20,Y,N,
13,Extras,Extras,Brown Rice ,2.50,,,20,Y,N,
14,Extras,Extras,White Rice ,1.50,,,20,Y,N,
